project,platform,signature,series,testrun_id,push_timestamp,change,percent change,t-value,revision
mozilla-inbound,windows8-64,f1095a72f5df055d3f330b688f71d370d5b26990,tp5o_scroll summary opt,13729,1429655779,2.0825,52.3679798826,66.896106821,d86eef3f31ee
mozilla-inbound,windows8-64,f1095a72f5df055d3f330b688f71d370d5b26990,tp5o_scroll summary opt,13762,1429712011,-2.09083333333,34.50220022,81.3751192781,70d3946ee3e9
mozilla-inbound,windowsxp,52de473a02841bed86777ae42435ff2e363a415b,tpaint summary pgo,14500,1431116907,-7.49833333333,4.68384806384,9.16848126786,afbc1f7623e7
mozilla-inbound,windows7-32,c5f388ad52ed765ba7871ae826bd16c06008c49a,damp summary opt,14491,1431108856,48.7575,17.2208879313,30.9644475142,4323557b111d
mozilla-inbound,linux64,85fc4181007e5a895b3316a72adea1f1d93dae4b,kraken summary pgo,14877,1432044166,2.08583333333,2.1272979152,11.1534430901,48fa8f0a227c
mozilla-inbound,linux64,85fc4181007e5a895b3316a72adea1f1d93dae4b,kraken summary pgo,15351,1432939725,-1.25916666667,1.25205084437,8.99643889923,de599eed2373
mozilla-inbound,linux64,3eca8f3dcb305b6ef6a171a33f9236210581e9ef,damp summary pgo,14216,1430501216,15.9633333333,7.2873631432,21.992839053,8fe081b9ff71
mozilla-inbound,linux64,3eca8f3dcb305b6ef6a171a33f9236210581e9ef,damp summary pgo,14281,1430770500,-15.5366666667,6.62024493912,17.383317162,b491b0ab6c2e
mozilla-inbound,linux64,3eca8f3dcb305b6ef6a171a33f9236210581e9ef,damp summary pgo,14500,1431116907,29.4266666667,13.3082083365,29.8933074394,afbc1f7623e7
mozilla-inbound,linux64,3eca8f3dcb305b6ef6a171a33f9236210581e9ef,damp summary pgo,16025,1434401264,8.79583333333,3.42225911251,7.03042704328,084681545e43
mozilla-inbound,linux64,3eca8f3dcb305b6ef6a171a33f9236210581e9ef,damp summary pgo,16785,1436146959,-9.73833333333,3.76353436004,13.8252952623,797634c4fd75
mozilla-inbound,linux64,803a7e1f064641c91c9501344b330a7b8cf5a2a4,tp5o summary pgo,14216,1430501216,7.64833333333,3.21536424212,12.7560255528,8fe081b9ff71
mozilla-inbound,linux64,803a7e1f064641c91c9501344b330a7b8cf5a2a4,tp5o summary pgo,14281,1430770500,-7.89333333333,3.20235849376,15.0057153734,b491b0ab6c2e
mozilla-inbound,linux64,803a7e1f064641c91c9501344b330a7b8cf5a2a4,tp5o summary pgo,14635,1431493954,6.3075,2.64002343897,10.0005572424,d6d25651b082
mozilla-inbound,windowsxp,18dfb3f63b6bcfbf0675a243bc0b711b13b4b492,ts_paint summary opt,14309,1430838859,19.7991666667,2.2610219945,8.76203445384,f58f60cd772c
mozilla-inbound,windowsxp,18dfb3f63b6bcfbf0675a243bc0b711b13b4b492,ts_paint summary opt,14416,1431007166,172.768333333,19.4057582091,14.9493459881,ee863cf58138
mozilla-inbound,windowsxp,18dfb3f63b6bcfbf0675a243bc0b711b13b4b492,ts_paint summary opt,14520,1431208704,-177.839166667,16.6822096402,22.7984479168,77d92f6d7679
mozilla-inbound,linux32,1dab7174e663130232c8501457fe7e991b68ce5d,tp5o summary pgo,14206,1430493821,4.88166666667,1.85462500673,9.38800497457,eee429dfeb23
mozilla-inbound,windows7-32,d79661f2b29fc5c3f7de1490a1ed22f532d23bf6,sessionrestore_no_auto_restore summary opt,13677,1429613223,-14.3425,1.92591531612,7.62586122347,9a56491b7588
mozilla-inbound,windows7-32,d79661f2b29fc5c3f7de1490a1ed22f532d23bf6,sessionrestore_no_auto_restore summary opt,14309,1430838859,14.905,1.99500746204,7.53672426994,f58f60cd772c
mozilla-inbound,windows7-32,d79661f2b29fc5c3f7de1490a1ed22f532d23bf6,sessionrestore_no_auto_restore summary opt,14416,1431007166,14.2933333333,1.8787282657,7.87207732899,ee863cf58138
mozilla-inbound,windows7-32,d79661f2b29fc5c3f7de1490a1ed22f532d23bf6,sessionrestore_no_auto_restore summary opt,14705,1431619649,21.5308333333,2.76757194487,10.0698654065,fde31eaa2638
mozilla-inbound,windows7-32,d79661f2b29fc5c3f7de1490a1ed22f532d23bf6,sessionrestore_no_auto_restore summary opt,16103,1434498783,-15.1541666667,1.90618848258,11.6294551062,291f44d1891d
mozilla-inbound,windows7-32,d79661f2b29fc5c3f7de1490a1ed22f532d23bf6,sessionrestore_no_auto_restore summary opt,17010,1436490387,11.6508333333,1.46754265069,7.79384969474,d7ca6e1baa19
mozilla-inbound,linux32,c1053c9ba89dd3e6c19110f68cb3d2fd1e40d26f,tart summary opt,15667,1433748572,-0.0858333333333,1.64641943734,7.8537955115,e03144903268
mozilla-inbound,linux32,c1053c9ba89dd3e6c19110f68cb3d2fd1e40d26f,tart summary opt,15987,1434352113,2.03083333333,39.2874415605,85.6110351722,85383f7a9d53
mozilla-inbound,linux32,c1053c9ba89dd3e6c19110f68cb3d2fd1e40d26f,tart summary opt,16430,1435302523,-1.94,27.1265439292,75.107301214,b24f2c2f49c5
mozilla-inbound,linux32,c1053c9ba89dd3e6c19110f68cb3d2fd1e40d26f,tart summary opt,16499,1435580381,0.109166666667,2.10036876704,11.1636272989,d71995d0ccd2
mozilla-inbound,linux32,c1053c9ba89dd3e6c19110f68cb3d2fd1e40d26f,tart summary opt,17238,1436976580,0.1175,2.18740304065,9.63660664085,3bc7de3b8891
mozilla-inbound,linux32,23a4c9bc50e1d24b0a562363986025115041bef5,tp5o summary pgo,17060,1436570431,-4.95583333333,1.85735210986,7.10679571532,f75afefd1134
mozilla-inbound,linux64,01a1bf3dd449675894c6c4c08021e5cdfef20010,cart summary pgo,16785,1436146959,-2.98333333333,10.7163169396,25.3898639158,797634c4fd75
mozilla-inbound,linux64,6e44c4c5d72c7245e0dbb1078e11ab6ed9d97fba,glterrain summary pgo,15573,1433460449,-1.74833333333,7.18887061404,27.7609010737,3be7f71fbf72
mozilla-inbound,linux32,1638ee1a10b220e789ca50026186e933c91b0164,tp5o summary opt,15753,1433917446,-9.40083333333,2.6365546464,10.030881536,0c35e99b2167
mozilla-inbound,windows7-32,bb48078b6137f88afc52591b0e2aaa540435392c,tresize summary opt,13675,1429612740,-1.3175,7.46776250531,7.61432817662,b8d59286a581
mozilla-inbound,windows7-32,bb48078b6137f88afc52591b0e2aaa540435392c,tresize summary opt,14706,1431620069,9.24416666667,52.0724780547,49.5611365865,212cc3156d16
mozilla-inbound,windows7-32,bb48078b6137f88afc52591b0e2aaa540435392c,tresize summary opt,14748,1431712382,-2.645,9.80961799975,25.5127798127,d8a584dddc0c
mozilla-inbound,windows7-32,bb48078b6137f88afc52591b0e2aaa540435392c,tresize summary opt,14832,1431963059,-7.13833333333,28.970508658,28.6181301859,81065a77de26
mozilla-inbound,windows7-32,bb48078b6137f88afc52591b0e2aaa540435392c,tresize summary opt,16407,1435259524,-1.38833333333,8.00384338218,11.2069284449,5ddf0a252b08
mozilla-inbound,linux32,5ad1cf8f223e0d78a3baf2838bb495796a7fdad2,tpaint summary opt,14746,1431704507,-8.34833333333,3.6255329005,7.5760705706,5943d32f3515
mozilla-inbound,linux64,72e07984983c51f486a3cbb36481ae53c9240d5c,glterrain summary opt,15564,1433452799,-1.2875,5.31475748194,8.05248160446,c4d1692d88ee
mozilla-inbound,windowsxp,7eaf8df11bb7161d930d0e9862a9a808cc12259f,damp summary opt,14491,1431108856,45.2975,17.8882416823,36.2414351826,4323557b111d
mozilla-inbound,osx-10-10,d5654ef4f31d6127e4fd9b71eb6428292489a066,tpaint summary opt,14309,1430838859,54.885,16.5467445156,9.38252749899,f58f60cd772c
mozilla-inbound,osx-10-10,d5654ef4f31d6127e4fd9b71eb6428292489a066,tpaint summary opt,14487,1431106775,-43.7241666667,11.8543739113,9.46848833626,863caf540d9a
mozilla-inbound,windows8-64,62d04005e37159f46afe6d7325b0ad7b17e2dbe6,ts_paint summary pgo,14416,1431007166,144.771666667,19.8767755702,18.0986155897,ee863cf58138
mozilla-inbound,windows8-64,62d04005e37159f46afe6d7325b0ad7b17e2dbe6,ts_paint summary pgo,14520,1431208704,-130.478333333,14.9735433038,22.661364876,77d92f6d7679
mozilla-inbound,windows8-64,62d04005e37159f46afe6d7325b0ad7b17e2dbe6,ts_paint summary pgo,16111,1434503904,-12.3841666667,1.63427658985,7.71111265094,28bbcf8f9e1a
mozilla-inbound,windows8-64,62d04005e37159f46afe6d7325b0ad7b17e2dbe6,ts_paint summary pgo,16980,1436450079,13.5875,1.82379286277,7.12805488454,264521d3ef29
mozilla-inbound,windows7-32,c33eba52ac3ad7d976bd2a972930490395f20b46,tscrollx summary opt,13730,1429656463,-0.606666666667,18.7146529563,34.1470801499,e01af01b7015
mozilla-inbound,windows7-32,c33eba52ac3ad7d976bd2a972930490395f20b46,tscrollx summary opt,13762,1429712011,0.571666666667,21.6403785489,28.6111509887,70d3946ee3e9
mozilla-inbound,windowsxp,0fcebdd14cd8b40a38038b67c1de46edc5f7686d,tcanvasmark summary pgo,16098,1434497078,22.6791666667,2.86920978916,9.76465618007,5988e0ef6cef
mozilla-inbound,linux32,5650e71c27b8333b5521da646be37410402de701,cart summary opt,14111,1430353311,-0.7275,2.16201490874,8.70351719908,b75eb0486721
mozilla-inbound,linux32,5650e71c27b8333b5521da646be37410402de701,cart summary opt,16785,1436146959,-2.2575,6.60007309051,23.6561092534,797634c4fd75
mozilla-inbound,windows8-64,044dea39c9d635e68b5314bf844b8f010622d31d,cart summary pgo,13730,1429656463,-1.515,5.84641111397,23.1503008599,e01af01b7015
mozilla-inbound,windows8-64,044dea39c9d635e68b5314bf844b8f010622d31d,cart summary pgo,14833,1431965464,0.693333333333,3.02325581395,9.18512167438,2d2577321beb
mozilla-inbound,windows8-64,044dea39c9d635e68b5314bf844b8f010622d31d,cart summary pgo,15987,1434352113,-0.980833333333,4.09291650729,12.6812391996,85383f7a9d53
mozilla-inbound,windows8-64,044dea39c9d635e68b5314bf844b8f010622d31d,cart summary pgo,16408,1435262749,-0.566666666667,2.44103815917,9.20463594269,a666c23a74ae
mozilla-inbound,windows8-64,bb06e2fd4b3adb76776faa7fe3d4b5a4e0228128,tresize summary opt,15986,1434351733,-0.4975,3.95967367513,8.6314024004,cc4bddc95462
mozilla-inbound,windows7-32,48c10f0f17ffb7969bd28cac4742776eb21f6021,tp5o summary pgo,14710,1431624311,11.7541666667,5.370898526,21.8295750578,4bd6fc9630b5
mozilla-inbound,windows7-32,48c10f0f17ffb7969bd28cac4742776eb21f6021,tp5o summary pgo,14833,1431965464,-7.70583333333,3.37682636021,18.6650731445,2d2577321beb
mozilla-inbound,linux32,e64d80388b43fcbabd7825e1fa8076faf8f78bf5,tpaint summary pgo,14226,1430510765,8.46166666667,4.89946778482,8.80924237715,794849eb1d82
mozilla-inbound,windows7-32,deab7e9e745264ccb16b379c21abc47ca4976d09,tresize summary pgo,14710,1431624311,8.3675,51.2505104124,23.1106009041,4bd6fc9630b5
mozilla-inbound,windows7-32,deab7e9e745264ccb16b379c21abc47ca4976d09,tresize summary pgo,14833,1431965464,-7.44833333333,31.5395744381,80.8030331931,2d2577321beb
mozilla-inbound,windows7-32,43b3bc8a698a38d73f0ef865c8d3bc4f92774a50,tart summary opt,13730,1429656463,0.389166666667,6.02502902851,9.78147612037,e01af01b7015
mozilla-inbound,windows7-32,43b3bc8a698a38d73f0ef865c8d3bc4f92774a50,tart summary opt,13762,1429712011,-0.381666666667,5.55825242718,9.10992984525,70d3946ee3e9
mozilla-inbound,windows7-32,43b3bc8a698a38d73f0ef865c8d3bc4f92774a50,tart summary opt,14705,1431619649,3.505,53.4910339565,47.6718085144,fde31eaa2638
mozilla-inbound,windows7-32,43b3bc8a698a38d73f0ef865c8d3bc4f92774a50,tart summary opt,14748,1431712382,-1.36333333333,13.5028062067,13.6444632841,d8a584dddc0c
mozilla-inbound,windows7-32,43b3bc8a698a38d73f0ef865c8d3bc4f92774a50,tart summary opt,14832,1431963059,-2.28416666667,25.6096421564,18.4038581755,81065a77de26
mozilla-inbound,windows7-32,43b3bc8a698a38d73f0ef865c8d3bc4f92774a50,tart summary opt,16499,1435580381,0.145833333333,2.1404109589,7.77913295575,d71995d0ccd2
mozilla-inbound,windows8-64,d3b8af99f0b3c6ba4a716fb45e5f12b37ce96f0c,tsvgx summary opt,13729,1429655779,12.3458333333,8.47850471569,19.0997405974,d86eef3f31ee
mozilla-inbound,windows8-64,d3b8af99f0b3c6ba4a716fb45e5f12b37ce96f0c,tsvgx summary opt,13762,1429712011,-12.4725,7.84742430201,11.9389251698,70d3946ee3e9
mozilla-inbound,windows8-64,3a3ad5b5e3ff3577c96a133e09dce5d7a1eab55c,tscrollx summary opt,13729,1429655779,-0.458333333333,17.1767645222,31.3824043635,d86eef3f31ee
mozilla-inbound,windows8-64,3a3ad5b5e3ff3577c96a133e09dce5d7a1eab55c,tscrollx summary opt,13762,1429712011,0.46,20.8853575482,39.5116947449,70d3946ee3e9
mozilla-inbound,windows8-64,329f13e54d505d9f871e9a4129eceea65e3cfec0,tp5o summary opt,13729,1429655779,33.1058333333,12.5659501246,35.5307824819,d86eef3f31ee
mozilla-inbound,windows8-64,329f13e54d505d9f871e9a4129eceea65e3cfec0,tp5o summary opt,13762,1429712011,-33.1158333333,11.1488922368,34.2606562343,70d3946ee3e9
mozilla-inbound,linux32,8eb746b71df3b2363964eb75023eda6c5cec52bc,a11yr summary opt,16818,1436208342,-13.25,1.65250260607,7.03371411385,d92864a3b3ae
mozilla-inbound,linux64,27d16dd5bd8df50025a7c9176b7e61d1632273fb,tp5o_scroll summary pgo,14216,1430501216,0.488333333333,4.95225217612,14.0137379368,8fe081b9ff71
mozilla-inbound,linux64,27d16dd5bd8df50025a7c9176b7e61d1632273fb,tp5o_scroll summary pgo,14255,1430738248,-1.77333333333,17.1820750908,26.2196158274,4b23f2a48e84
mozilla-inbound,linux32,f3cdc5746374e146c7cc7c679e89f6dc5931f68e,v8_7 summary opt,14488,1431106963,63.0925,4.0747996534,15.688611889,4963ecd92915
mozilla-inbound,linux32,f3cdc5746374e146c7cc7c679e89f6dc5931f68e,v8_7 summary opt,14512,1431139599,-44.4708333333,2.76954902514,7.18074490454,a9a4f21d0daf
mozilla-inbound,linux32,f3cdc5746374e146c7cc7c679e89f6dc5931f68e,v8_7 summary opt,14723,1431643009,-58.4816666667,3.76720601482,29.4001773913,c112db453761
mozilla-inbound,linux32,f3cdc5746374e146c7cc7c679e89f6dc5931f68e,v8_7 summary opt,14740,1431673439,57.6008333333,3.85785311794,28.3746874608,c4609a600f02
mozilla-inbound,linux32,f3cdc5746374e146c7cc7c679e89f6dc5931f68e,v8_7 summary opt,14809,1431915142,-46.5558333333,3.01408013017,8.06578669271,322487136b28
