B2g-Inbound-Non-PGO	Ubuntu HW 12.04 x64	SVG-ASAP	2015-05-29 00:35:50	-3.78%	9472d8752e53
B2g-Inbound-Non-PGO	Ubuntu HW 12.04	SVG-ASAP	2015-05-29 01:06:42	-3.56%	9472d8752e53
Fx-Team-Non-PGO	WINNT 6.1 (ix)	Tp5 No Network Row Major MozAfterPaint (Non-Main Normal File IO Bytes)	2015-05-29 12:32:37	-2.23%	5670c0c09c2c
B2g-Inbound	Ubuntu HW 12.04 x64	SVG-ASAP	2015-05-29 14:34:44	-3.85%	9472d8752e53
Firefox-Non-PGO	WINNT 6.1 (ix)	Tp5 Optimized (Private Bytes)	2015-05-29 15:32:32	-3.37%	e537a1ba501b
Firefox	MacOSX 10.10	tscroll-ASAP	2015-05-29 16:02:39	+27.1%	8707d35414f4
Firefox	Ubuntu HW 12.04 x64	Session Restore Test	2015-05-29 16:06:10	-3.47%	b6623a27fa64
Firefox	Ubuntu HW 12.04	Session Restore Test	2015-05-29 16:35:28	-3.88%	b6623a27fa64
Mozilla-Inbound-Non-PGO	WINNT 6.1 (ix)	Tp5 No Network Row Major MozAfterPaint (Non-Main Normal File IO Bytes)	2015-05-29 18:05:28	-2.79%	6b20dd2e20cc
Firefox	WINNT 6.1 (ix)	Session Restore Test	2015-05-29 18:31:51	-3.13%	b6623a27fa64
Firefox	WINNT 5.1 (ix)	Session Restore Test	2015-05-29 18:32:51	-3.61%	b6623a27fa64
Fx-Team-Non-PGO	Ubuntu HW 12.04 x64	Session Restore Test	2015-05-29 19:04:15	-4.37%	301df7d05cf4
Fx-Team	Ubuntu HW 12.04 x64	SVG-ASAP	2015-05-29 20:35:54	-3.91%	242916838c5c
Fx-Team	WINNT 5.1 (ix)	Tp5 Optimized Responsiveness	2015-05-30 13:32:18	+6.19%	7d9ba48b1f3c
Firefox	MacOSX 10.10	TP5 Scroll	2015-05-30 14:04:11	+18.5%	2c815cc65cc9
Firefox	WINNT 6.1 (ix) (e10s)	Tp5 Optimized (Private Bytes)	2015-05-31 15:01:26	-3.03%	e537a1ba501b
Firefox	WINNT 6.1 (ix)	Tp5 Optimized (Private Bytes)	2015-05-31 15:01:36	-2.92%	e537a1ba501b
Firefox-Non-PGO	Ubuntu HW 12.04 x64	SVG-ASAP	2015-06-01 13:01:10	-3.5%	8707d35414f4
Firefox-Non-PGO	Ubuntu HW 12.04	SVG-ASAP	2015-06-01 13:07:32	-3.84%	8707d35414f4
Firefox	Ubuntu HW 12.04 x64	SVG-ASAP	2015-06-01 17:33:49	-3.98%	baa9c64fea6f
Firefox	Ubuntu HW 12.04	SVG, Opacity Row Major	2015-06-01 18:01:25	-3.87%	baa9c64fea6f
Firefox	Ubuntu HW 12.04	SVG-ASAP	2015-06-01 18:01:27	-3.77%	baa9c64fea6f
Firefox	WINNT 6.1 (ix) (e10s)	Tp5 Optimized (%CPU)	2015-06-01 19:34:11	+11.7%	baa9c64fea6f
Firefox	WINNT 6.1 (ix) (e10s)	Tp5 Optimized	2015-06-01 19:34:13	-4.35%	baa9c64fea6f
Firefox	Ubuntu HW 12.04 x64 (e10s)	Tp5 Optimized	2015-06-02 02:04:50	-5.53%	f986e55c4e0b
Mozilla-Inbound-Non-PGO	WINNT 6.1 (ix)	Tp5 Optimized (Modified Page List Bytes)	2015-06-02 09:31:29	+15.5%	f351a43d8a74
Firefox-Non-PGO	WINNT 6.1 (ix)	Tp5 No Network Row Major MozAfterPaint (Non-Main Normal File IO Bytes)	2015-06-02 13:07:06	-2.45%	ccbf26a27a35
